Cód. Modular;Gestión;Nombre IE;Nivel;Distrito;Director(a);Últ. Acceso
1516962;Pública de gestión directa;11 DE MAYO;Inicial - Jardín;Cayma;MANRIQUE SOSA NOELIA NOEMI;2024-08-21 21:33:08
1717479;Pública de gestión directa;11 DE MAYO;Secundaria;Cayma;Sardon Rodriguez Jhon;2024-08-21 12:54:07
0612739;Pública de gestión directa;12 DE OCTUBRE;Inicial - Jardín;Cerro Colorado;VILLASANTE  TALAVERA SILVANA CECILIA ;2024-08-19 15:08:39
0794347;Pública de gestión directa;23 DE JUNIO;Inicial - Jardín;Sachaca;SANCHEZ  MARROQUIN LOURDES ESPERANZA;2024-08-21 19:44:13
0226423;Pública de gestión directa;40001 LUIS H. BOURONCLE;Primaria;Arequipa;Rodríguez Rodríguez Fredy Raúl;2024-08-19 11:20:03
1397454;Pública de gestión directa;40002 AL AIRE LIBRE;Inicial - Jardín;Arequipa;GORDILLO MANRIQUE MADELEINE;2024-08-21 18:43:39
0226431;Pública de gestión directa;40002 AL AIRE LIBRE;Primaria;Arequipa;GORDILLO MANRIQUE MADELEINE;2024-08-21 18:43:39
0226464;Pública de gestión directa;40005;Primaria;Uchumayo;Zea Torres Eloy;2024-08-20 07:24:22
1399286;Pública de gestión directa;40007 GILBERTO OCHOA GALDOS;Inicial - Jardín;Arequipa;PRADO SALGUERO SILVIA MARTHA;2024-08-21 20:59:07
0226480;Pública de gestión directa;40007 GILBERTO OCHOA GALDOS;Primaria;Arequipa;PRADO SALGUERO SILVIA MARTHA;2024-08-21 20:59:07
0226555;Pública de gestión directa;40015 VALLECITO;Primaria;Arequipa;PEREZ CAPA FLOR DE MARIA;2024-08-21 21:14:06
0226605;Pública de gestión directa;40020 ESCUELA ECOLOGICA URBANA;Primaria;Arequipa;ORDOÑEZ QUISPE LUIS;2024-08-14 22:08:30
1253145;Pública de gestión directa;40020 ESCUELA ECOLOGICA URBANA;Inicial - Jardín;Arequipa;ORDOÑEZ QUISPE LUIS;2024-08-14 22:08:30
0472209;Pública de gestión directa;40025 SANTA DOROTEA;Secundaria;Arequipa;ALVAREZ RIVERA JUAN CARLOS;2024-08-20 09:55:50
0226654;Pública de gestión directa;40025 SANTA DOROTEA;Primaria;Arequipa;ALVAREZ RIVERA JUAN CARLOS;2024-08-20 09:55:50
0226753;Pública de gestión directa;40035 V.A. BELAUNDE;Primaria;Cerro Colorado;Calla Vera, Néstor Delon;2024-08-21 14:49:09
0899336;Pública de gestión directa;40035 V.A. BELAUNDE;Secundaria;Cerro Colorado;Calla Vera, Néstor Delon;2024-08-21 14:49:09
0226787;Pública de gestión directa;40036;Primaria;Arequipa;No figura;-
0226795;Pública de gestión directa;40039 SANTA MARIA;Primaria;Yanahuara;INQUILLA BRAVO MARIA MAGDALENA;2024-08-14 16:04:28
0899211;Pública de gestión directa;40039 SANTA MARIA;Secundaria;Yanahuara;INQUILLA BRAVO MARIA MAGDALENA;2024-08-14 16:04:28
1279256;Pública de gestión directa;40040 JOSE TRINIDAD MORAN;Secundaria;Cayma;CONDORI CUTIPA NANCY BENITA;2024-08-21 10:26:53
0794248;Pública de gestión directa;40040 JOSE TRINIDAD MORAN;Primaria;Cayma;CONDORI CUTIPA NANCY BENITA;2024-08-21 10:26:53
0226829;Pública de gestión directa;40042 REPUBLICA DE FRANCIA;Primaria;Arequipa;ZEA  ALVAREZ ELIZABETH MARTA;2024-08-13 20:29:22
1636570;Pública de gestión directa;40042 REPUBLICA DE FRANCIA;Inicial - Jardín;Arequipa;ZEA  ALVAREZ ELIZABETH MARTA;2024-08-13 20:29:22
0656165;Pública de gestión directa;40044 SAN MARTIN DE PORRES;Primaria;Cerro Colorado;RIOS CUEVA ELSA FELICIA;2024-08-21 21:10:03
0226852;Pública de gestión directa;40045 LIVIA BERNAL DE BALTAZAR;Primaria;Cayma;Paredes Casapia Reynaldo;2024-08-21 12:48:10
0226860;Pública de gestión directa;40046 JOSE L.CORNEJO A.;Primaria;Cayma;VIVEROS FLORES MIGUEL DAMASO;2024-08-21 12:15:18
0749325;Pública de gestión directa;40046 JOSE L.CORNEJO A.;Secundaria;Cayma;VIVEROS FLORES MIGUEL DAMASO;2024-08-21 12:15:18
0226886;Pública de gestión directa;40048 ANTONIO JOSE DE SUCRE;Primaria;Yanahuara;HUANQUI GUERRA JESÚS SANDRO;2024-08-21 16:53:32
1261148;Pública de gestión directa;40048 ANTONIO JOSE DE SUCRE;Inicial - Jardín;Yanahuara;HUANQUI GUERRA JESÚS SANDRO;2024-08-21 16:53:32
0637249;Pública de gestión directa;40048 ANTONIO JOSE DE SUCRE;Secundaria;Yanahuara;HUANQUI GUERRA JESÚS SANDRO;2024-08-21 16:53:32
0226894;Pública de gestión directa;40049 CORONEL FRANCISCO BOLOGNESI CERVANTES;Primaria;Cayma;HILARI CASAS MOISES VIDAL;2024-08-19 20:31:14
