titulo|fecha|enlace|contenido
Puno: La UNA consiguió su primera victoria en PJ|2024/09/04|https://diariosinfronteras.com.pe/2024/09/04/puno-la-una-consiguio-su-primera-victoria-en-pj/|La UNA consiguió su primera victoria en PJ La Universidad Nacional del Altiplano (UNA) obtuvo su primera victoria judicial, en un litigio que mantiene con la familia Tapia Reyes, que pretendía cobrar un millonario alquiler como «pago de frutos» desde el 2017 hasta junio de este año, alegando ser la propietaria del inmueble ubicado en la avenida Ejército 329, donde desde hace más de cuatro décadas funciona el Edificio Universitario. Tras analizar que no es así, el último 27 de agosto del presente año, el titular del Tercer Despacho Especializado en lo Civil de Puno, Guido Chevarría, emitió la Sentencia 139-2024, que declaró infundada la demanda de pretensión de «Pago de Frutos», contra la UNA. MILLONARIO ALQUILER El 20 de junio de este año, el ciudadano Francisco Edgar Tapia Reyes, demandó el pago de S/ 2 millones 430 mil, a razón de S/ 30 mil mensual, desde el 18 de setiembre del 2017 a la fecha de la demanda. Como se recuerda, dicha familia arguye ser propietario del referido bien inmueble, y en otro proceso interpusieron una demanda por reivindicación su derecho de propiedad, y la UNA presentó una prescripción adquisitiva de dominio en el 2018 el cual se ventila en el Primer Juzgado Civil de Puno. Tras el litigio arriba mencionado, la Oficina de Asesoría Legal de la UNA presentó documentos que tácitamente desestimaron la supuesta propiedad, y de manera enfática rechazaron que se pague un centavo por el inmueble en cuestión porque, en suma, no presentaron un contrato o documento que haya generado dicha obligación. ¿LAS PRUEBAS? «… Al presente proceso no se ha introducido medio probatorio idóneo que tenga por propósito acreditar la existencia de una relación jurídica existente entre la Universidad Nacional del Altiplano y otra persona (natural o jurídica) por medio del cual el inmueble submateria haya generado o producido frutos civiles a favor (…) NO BASTA «… más bien se puede asumir que la posesión del inmueble materia solo recae en una entidad demandada (la UNA). El demandante se ha limitado a alegar su derecho de propiedad (…) como si tales condiciones fueran suficientes para generar y reclamar los frutos civiles», precisa el fundamento del juez. Por su parte, la UNA ha presentado no solo la minuta con la que adquirió dicha propiedad en noviembre de 1979 , sino también los recibos y depósitos pagados por la propiedad del terreno de 4463 metros cuadrados (1776 m2 de área construida). SE HACE JUSTICIA El rector de la UNA, Paulino Machaca, dijo no haber analizado a fondo la sentencia, pero consideró que el Poder Judicial hace justicia, porque sería descabellado que ordene el pago de un centavo por el uso de una propiedad que es suya.
Puno: Esperan ventas por más de 145 mil soles|2024/09/04|https://diariosinfronteras.com.pe/2024/09/04/puno-esperan-ventas-por-mas-de-145-mil-soles/|Esperan ventas por más de 145 mil soles Con motivo de la feria de productos Expovida 2024 se llevará a cabo también la primera rueda de negocios en la ciudad de Puno del 5 al 7 de setiembre, siendo los principales promotores Agromercado en alianza con Devida, Cámara de Comercio de Puno y Dircetur Puno. }DE LA SELVA PUNEÑA Se expenderán productos de la selva como café en sus diferentes presentaciones, cacao, la papayita andina, el rocoto y kion de los valles de Sandia. Los productos puneños estarán a disposición de los compradores y demandantes de productos que quieran colocarlo en sus cafeterías, chocolaterías y góndolas. PRODUCTORES Según informaron, la rueda de negocios se realizará el día 5 de manera presencial y el 6 en forma virtual, por ello existe una gran expectativa en los compradores nacionales e internaciones, debido a ello los organizadores han puesto a disposición el siguiente link web para la inscripción de los demandantes: https://forms.gle/HzXbSz3bAo3jF5dv9 METAS DE VENTAS Cabe precisar que los productos de la selva de Puno reúnen todos los requisitos y exigencias del mercado, para lo cual fueron asesorados por los expertos de Agromercado; al respecto Rolando Díaz Vela, director ejecutivo de Devida en Puno, informó que este año junto a la rueda de negocios se tiene una meta estimada de más de 145 mil soles en ventas que favorecerían a los productores de la selva.
Puno: Consejeros se van a Ucayali este 5 y 6|2024/09/04|https://diariosinfronteras.com.pe/2024/09/04/puno-consejeros-se-van-a-ucayali-este-5-y-6/|Consejeros se van a Ucayali este 5 y 6 Los consejeros regionales viajarán a Ucayali. Ello fue aprobado el 9 de agosto de este año, según consta en el Acuerdo Regional N° 084-2024, que autoriza el viaje de los fiscalizadores los días 5 y 6 de septiembre, para participar en el Primer Congreso Extraordinario de Consejeros Regionales del Perú. Asimismo, se encarga a la Gerencia General la formalización del trámite para la asignación presupuestal; es decir, viajarán con los pasajes y viáticos cubiertos por el Gobierno Regional de Puno (GRP). El presidente del Consejo Regional, Wido Condori, señaló que este congreso es organizado por la Asociación Nacional de Consejeros Regionales (Ancore), cuya invitación llegó directamente desde el Gobierno Regional de Ucayali. «Es una reunión para definir las políticas del estatuto que rige a este órgano, además estará presente el contralor general de la República para ver el tema del presupuesto», dijo, al tiempo de indicar que hoy recién se conocerá el número de consejeros que viajarán, pero recalcó que ello fue aprobado para todos. Asimismo, realizarán un intercambio de experiencias y políticas para el buen trabajo de los consejeros. Uno de los que ya confirmó dicho viaje es el consejero Abad Vizcarra, quien planteará el retorno de la figura para interpelar y censurar funcionarios, medida que fue modificada este año a nivel interno y que ya no permite esta potestad contra el Ejecutivo regional.
Puno: Denuncian a consejero por ‘usurpar’ Pasto Grande|2024/09/04|https://diariosinfronteras.com.pe/2024/09/04/puno-denuncian-a-consejero-por-usurpar-pasto-grande/|Denuncian a consejero por 'usurpar' Pasto Grande El consejero regional por la provincia de Chucuito, Abad Vizcarra, y otras autoridades, fueron citadas para declarar ante el Cuarto Despacho de la Fiscalía Penal Corporativa de Mariscal Nieto – Moquegua, en calidad de imputados por el presunto delito de usurpación, al haber visitado la zona de Pasto Grande en marzo de este año, territorio en conflicto con la vecina región. La constancia de notificación precisa que la declaración de Vizcarra debe ser tomada hoy 4 de septiembre, a las 16:00 horas. «Hemos visitado Pasto Grande para fortalecer las zonas de frontera, no entendemos el fin de esta denuncia si estamos dentro de nuestro territorio. Pasto Grande es de Puno», afirmó el consejero. Añadió que las líneas de frontera ya están definidas, «no tenemos nada que debatir, vamos a continuar defendiendo a la región Puno», dijo, al tiempo de hacer un llamado a las autoridades nacionales para poner fin al tema de delimitación entre ambas regiones y evitar conflictos.
Puno: Subprefecto atiende desde su casa|2024/09/04|https://diariosinfronteras.com.pe/2024/09/04/puno-subprefecto-atiende-desde-su-casa/|La población de Desaguadero se encuentra en medio de una confusión tras conocerse que existen dos locales de la Subprefectura operando simultáneamente en el distrito, lo que ha generado preocupación y malestar entre los vecinos. La población de Desaguadero se encuentra en medio de una confusión tras conocerse que existen dos locales de la Subprefectura operando simultáneamente en el distrito, lo que ha generado preocupación y malestar entre los vecinos. El local oficial de la Subprefectura se encuentra ubicado en la avenida Panamericana, donde se reúnen los tenientes de todo el distrito. Sin embargo, otro local ha comenzado a operar en el Jr. Tahuantinsuyo, en el domicilio de Félix Morales, subprefecto designado desde el año pasado. Desde su designación Morales no ha sido aceptado por los tenientes y ha decidido abrir su propia oficina en su casa, donde sigue atendiendo a la población. La comunidad cuestiona la legitimidad de esta acción y la falta de representatividad de Morales, quien no ha asistido a actos protocolares, izamientos ni desfiles.
Puno: Blindaje descarado al alcalde de Vilquechico|2024/09/04|https://diariosinfronteras.com.pe/2024/09/04/puno-blindaje-descarado-al-alcalde-de-vilquechico/|Blindaje descarado al alcalde de Vilquechico Un escándalo sacude al distrito de Vilquechico tras la polémica suspensión de la sesión extraordinaria del Concejo Municipal, donde se debía abordar la nulidad del acuerdo de vacancia en contra del alcalde Edgar Mamani, acusado de nepotismo. El primer regidor del distrito, Juan de Dios Condori Machaca, denunció que la suspensión fue «autoritaria», señalando que el presidente del Concejo Municipal justificó la medida argumentando que la Secretaría General no informó oportunamente sobre el documento de 95 páginas presentado por el promotor de la vacancia, Hugo Ticona. Además, criticaron el silencio de la Contraloría General de la República sobre el presunto delito de nepotismo. Condori aseguró que el proceso de vacancia ha cumplido los tiempos establecidos y denunció maniobras para dilatar la decisión final. Mientras tanto, en los exteriores de la comuna local, se concentraron varias personas en un intento por entorpecer la sesión extraordinaria. Varios regidores fueron amenazados de ser azotados. Por otro lado, indicaron que informarán de lo actuado al JNE.
Puno: Zozobra por asalto a garaje en Putina|2024/09/04|https://diariosinfronteras.com.pe/2024/09/04/puno-zozobra-por-asalto-a-garaje-en-putina/|Zozobra por asalto a garaje en Putina La inseguridad en la ciudad de San Antonio de Putina sigue siendo un motivo de preocupación para sus habitantes. Aproximadamente a las 7:40 p.m. del lunes dos sujetos encapuchados con mochilas y provistos con armas de fuego ingresaron a una vivienda ubicada en el Jr. Piura, en el centro poblado Santiago Giraldo, con la aparente intención de llevarse vehículos guardados en el garaje: una moto lineal y un carro. Los delincuentes, al ingresar, redujeron al dueño de la vivienda quien intentó resistir el ataque. En un acto violento, lo sujetaron del cuello y lo golpearon con la cacha del arma, causándole heridas profundas en la cabeza. Afortunadamente, la rápida acción de los vecinos, quienes alertaron al resto del pueblo, logró frustrar el atraco. Los delincuentes huyeron con rumbo desconocido sin lograr su objetivo. La víctima, cuya identidad se mantiene en reserva para evitar represalias, fue trasladada al establecimiento de salud local para recibir atención médica de urgencia. Efectivos de la Policía Nacional del Perú y agentes de Seguridad Ciudadana llegaron al lugar para iniciar las investigaciones correspondientes. Ante estos hechos hicieron un llamado urgente a los agentes de seguridad, rondas campesinas, juntas vecinales y a toda la comunidad a organizarse y a instalar cámaras de videovigilancia en sus domicilios para prevenir actos delictivos que se han incrementado en la provincia.
Puno: Informarán sobre presentación de fiesta de la Candelaria en España|2024/09/04|https://diariosinfronteras.com.pe/2024/09/04/puno-informaran-sobre-presentacion-de-fiesta-de-la-candelaria-en-espana/|Informarán sobre presentación de fiesta de la Candelaria en España El presidente de la comisión especial de la festividad de la Virgen de la Candelaria de la Municipalidad Provincial de Puno, Yonell de la Cruz Cornejo, informó que la próxima semana se presentará el informe completo del viaje realizado a España para promocionar la fiesta de 2025. El informe detallará todas las actividades realizadas durante la presentación de la festividad en las islas Canarias y Madrid, aseveró. De la Cruz Cornejo adelantó que el documento incluirá los aspectos clave del desarrollo de la presentación en España y será compartido con la población. Señaló que la experiencia cultural vivida durante el evento en el extranjero se reflejará en el plan de trabajo para la festividad de la Virgen de la Candelaria 2025, que estará listo en aproximadamente veinte días. El documento también abordará el tema del presupuesto necesario para las diversas actividades programadas. Según explicó, el plan está en proceso de elaboración y será presentado primero al ejecutivo municipal. Una vez revisado por este, será sometido a la aprobación del Concejo Provincial de Puno, con lo que se definirá la hoja de ruta para la organización de las fiestas del próximo año. Cabe recordar que con el fin de promocionar y difundir el evento más importante de la región Puno una comitiva liderada por el alcalde Javier Ponce Roque realizó la presentación de la festividad de la Virgen de la Candelaria 2025 en España. La iniciativa, destinada a promover el turismo y estimular el desarrollo económico de Puno, incluyó la presentación de un video promocional turístico de la provincia.
Puno: Gerencia Regional de Desarrollo Económico entregó 21 molinos picadores y peletizadoras|2024/09/04|https://diariosinfronteras.com.pe/2024/09/04/puno-gerencia-regional-de-desarrollo-economico-entrego-21-molinos-picadores-y-peletizadoras/|Puno: Gerencia Regional de Desarrollo Económico entregó 21 molinos picadores y peletizadoras En las vísperas, la Gerencia Regional de Desarrollo Económico, entregó 21 molinos picadores y peletizadoras a los emprendedores de la organización «Nueva Esperanza» en Orurillo, Melgar. Estos equipos permitirán procesar diversos tipos de pastos y granos, facilitando la producción de alimento balanceado para ganado, lo que incrementará la calidad y los ingresos de las familias ganaderas locales. Helard Ascue Ramos, jefe de Procompite, destacó el incremento del presupuesto a 9 millones de soles para el fondo Procompite Puno 2024. La entrega contó con la presencia de autoridades y beneficiarios locales.
Arequipa: Se van a prisión por robar a universitario|2024/09/04|https://diariosinfronteras.com.pe/2024/09/04/arequipa-se-van-a-prision-por-robar-a-universitario/|Se van a prisión por robar a universitario El sexto despacho de la Tercera Fiscalía Provincial Penal Corporativa de Arequipa consiguió que se dicte prisión preventiva en contra de dos extranjeros, tras haber sustraído la billetera y los auriculares a un universitario, a quien amenazaron de muerte, cuando se encontraba caminando por la avenida Independencia en el Cercado de la ciudad. Se trata de Moisés Moreno Linares y Marcos Sebastián Yapura Vera, investigados por el Ministerio Público como coautores del presunto delito contra el patrimonio en la modalidad de robo agravado. El hecho se registró el miércoles último, cuando el joven universitario se dirigía a su vivienda y repentinamente los imputados impidieron que continúe avanzando y amenazaron con atacarlo con un objeto. Enseguida, los imputados sustrajeron la billetera y los audífonos del agraviado, y antes de retirarse raudamente lo amenazaron con matarlo. El joven universitario comunicó lo ocurrido a dos policías que se encontraba por la zona, logrando intervenir a los imputados. Al momento del registro personal, hallaron en la mochila del coinvestigado Yapura Vera la billetera con las tarjetas bancarias y documentos del agraviado, así como los audífonos; además encontraron un cuchillo de mesa y una tijera. La investigación preliminar del caso estuvo a cargo de la fiscal penal Vanessa Gamero Gómez, quien informó que apelará la resolución judicial que dictó seis meses de prisión preventiva a fin de ampliar el plazo debido a la demora que se registra para fijar fechas para el control de acusación y juicio.
